#,Gender?,College,"Whiskey Sour","Old Fashion","Whiskey Coke","Pickle Back","Tequila Sunrise",Margarita,Freddy Fudpucker,"Bacardi Cocktail","Rum and Coke",Mojito,Daiquiri,Malibu,"Blue Hawaii","Mai Tai",Gimlet,"Gin and Tonic","French 75","White Russian","Cran Vodka",Appletini,Cosmo,"Blue Guy",Screwdriver,"Moscow Mule","Lemon Drop","Sex on the Beach",Mimosa,"Long Island","SF Slide","Please add you favorite drinks we may have missed (seperate multiple values with a ',')","Start Date (UTC)","Submit Date (UTC)","Network ID"
ecb891ff2a2992e3719f5887ffc1e2f4,Female,"College of LAS",Dislike,Like,Like,Dislike,Like,Like,"Don't Know",Like,Dislike,Like,Like,Like,Like,Like,"Don't Know","Don't Know","Don't Know",Like,Like,Like,"Don't Know",Like,"Don't Know","Don't Know",Like,Like,Like,Like,Like,,"2016-10-05 18:27:53","2016-10-05 18:37:06",16f6dff644
a6a4be215f1620a4292eacd686c51fc5,Male,"College of LAS","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Dislike,Dislike,Dislike,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Fireball,"2016-10-05 18:35:35","2016-10-05 18:37:07",2ae09df688
89f8d11d09dd7538d1334082a9f8c3c7,Female,Other,Dislike,Dislike,Like,"Don't Know",Like,Like,"Don't Know",Dislike,Like,Dislike,Like,"Don't Know",Dislike,Like,"Don't Know",Dislike,"Don't Know",Like,Dislike,Dislike,Dislike,"Don't Know",Dislike,Dislike,Dislike,Like,"Don't Know",Dislike,"Don't Know","Bailey's Milk","2016-10-05 18:36:05","2016-10-05 18:38:44",237b6c5cbe
7a6aa49a3866ad7fa73c6df5dced3217,Male,"College of Engineering",Like,Dislike,Dislike,"Don't Know",Dislike,Dislike,"Don't Know",Like,Like,Like,Like,Like,"Don't Know",Like,Like,Like,Like,Like,Like,Like,Like,"Don't Know",Dislike,Dislike,Like,Like,Like,Like,"Don't Know","Diabetic Russians","2016-10-05 18:37:22","2016-10-05 18:39:38",bdacd5498b
4001f69b9b52b3d2aa3c4a19a8dcebf4,Male,Other,"Don't Know",Like,"Don't Know","Don't Know",Dislike,Dislike,Dislike,"Don't Know",Dislike,Like,"Don't Know",Like,"Don't Know","Don't Know","Don't Know",Like,"Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know",Like,"Don't Know",Like,"Don't Know",,"2016-10-05 18:39:16","2016-10-05 18:41:57",46c70a74e7
d8ef49714c826410b30f89ed88468dbf,Female,Other,"Don't Know","Don't Know",Like,"Don't Know",Dislike,Like,"Don't Know",Like,Like,Like,Like,Like,Like,Like,"Don't Know",Like,"Don't Know",Like,Like,Like,"Don't Know","Don't Know",Like,"Don't Know",Like,"Don't Know",Like,Like,"Don't Know",,"2016-10-05 18:41:17","2016-10-05 18:42:48",2c6b14a3b3
4877922d714d06806aac3582b4533061,Male,"College of Engineering",Dislike,"Don't Know",Like,"Don't Know",Dislike,Like,"Don't Know",Like,Like,Dislike,Like,Like,Like,"Don't Know",Dislike,Dislike,"Don't Know",Like,"Don't Know",Dislike,Dislike,"Don't Know",Like,Like,"Don't Know","Don't Know",Like,Like,Like,,"2016-10-05 18:41:09","2016-10-05 18:43:07",bf8d51d43f
676a8642ae5577851ea38040bfbdd2de,Male,"College of LAS",Like,Like,Like,"Don't Know",Like,Like,"Don't Know",Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,"Don't Know",Dislike,Like,Like,Like,Like,"Don't Know",Like,"Don't Know","Tom Collins, Mint Julep, Kentucky Mule, Kamikaze, Blue Mofo, Tokyo Tea, Dirty Martini, Long Beach Iced Tea, Manhattan, Black Russian, White Russian, Blind Russian, Dark and Stormy, Bloody Mary, Amaretto Sour/Stone sour.","2016-10-05 18:30:52","2016-10-05 18:43:16",64f90bb540
dcd300cd9becc6943deac2ab17d18cf5,Male,"College of LAS",Like,Dislike,Like,Dislike,"Don't Know",Like,"Don't Know",Like,Like,Like,Like,Like,Like,"Don't Know","Don't Know",Like,"Don't Know",Like,Like,"Don't Know","Don't Know","Don't Know",Like,Like,Like,"Don't Know",Like,"Don't Know","Don't Know",,"2016-10-05 18:43:08","2016-10-05 18:44:52",f9353b6582
288ca8de7b7130135d772d1385b5a9f3,Male,"College of ACES",Like,"Don't Know",Like,Dislike,Like,Like,"Don't Know",Like,Like,Like,"Don't Know",Like,"Don't Know",Like,"Don't Know",Like,"Don't Know",Like,Like,Dislike,Dislike,Like,Like,Like,,Like,Like,Like,"Don't Know","Jäger bomb","2016-10-05 18:20:13","2016-10-05 18:44:58",2e39c0d9cb
